RMSenergy;pcm_loudness;F0final_sma;voicingFinalClipped_sma;vowel
0.02572802;0.46752829999999995;0.0;0.0;1.0
0.02525275;0.5129248;0.0;0.0;1.0
0.02439977;0.8136076;0.0;0.0;1.0
0.02351173;0.2874977;0.0;0.0;1.0
0.02160277;0.3523785;0.0;0.0;1.0
0.01976993;0.2866871;0.0;0.0;1.0
0.01840031;0.220617;0.0;0.0;1.0
0.01719231;0.5357119;0.0;0.0;1.0
0.01574166;0.3899497;0.0;0.0;1.0
0.01509053;0.1005837;0.0;0.0;1.0
0.0145103;0.5905522;0.0;0.0;1.0
0.01434938;0.7319094;0.0;0.0;1.0
0.01452948;0.24934009999999998;0.0;0.0;1.0
0.01445654;0.38597059999999994;0.0;0.0;1.0
0.01345025;0.19965560000000002;0.0;0.0;1.0
0.0118665;0.33949270000000004;0.0;0.0;1.0
0.009751517;0.0989437;0.0;0.0;1.0
0.006908859;0.585022;0.0;0.0;1.0
0.005292944;0.2709824;0.0;0.0;1.0
0.004265072;0.3172567;0.0;0.0;0.0
0.003879607;0.06082451;0.0;0.0;0.0
0.003262492;0.1826445;0.0;0.0;0.0
0.0027634459999999997;0.1289791;0.0;0.0;0.0
0.002344321;0.13172360000000002;0.0;0.0;0.0
0.00190599;0.10540050000000001;0.0;0.0;0.0
0.0017291270000000002;0.09560794;0.0;0.0;0.0
0.0017083379999999998;0.21964940000000002;0.0;0.0;0.0
0.0018306879999999998;0.1714558;0.0;0.0;0.0
0.001840279;0.1069737;0.0;0.0;0.0
0.002104225;0.1038115;0.0;0.0;0.0
0.002531381;0.1219407;0.0;0.0;0.0
0.00306293;0.08690513;0.0;0.0;0.0
0.003863477;0.1668421;0.0;0.0;0.0
0.004515811;0.08690513;0.0;0.0;0.0
0.0047766020000000005;0.11007470000000001;0.0;0.0;0.0
0.005708478;0.1499706;0.0;0.0;0.0
0.006751315999999999;0.24934009999999998;0.0;0.0;0.0
0.007959884;0.4491314;0.0;0.0;0.0
0.009151111;0.2866871;0.0;0.0;0.0
0.009179172;0.05118178;0.0;0.0;1.0
0.01023753;0.141044;0.0;0.0;1.0
0.01130133;0.1793369;0.0;0.0;1.0
